city,longitude,latitude,elevation
梅河口市,125.711129,42.539183,320.0
集安市,126.193172,41.125805,205.0
白山市,126.414274,41.944132,489.0
抚松县,127.449387,42.221038,707.0
靖宇县,126.813262,42.388902,547.0
长白朝鲜族自治县,128.20066,41.420253,745.0
临江市,126.918086,41.811979,395.0
松原市,124.825321,45.14191,131.0
前郭尔罗斯蒙古族自治县,124.823417,45.118061,134.0
长岭县,123.967244,44.276293,189.0
乾安县,124.040651,45.003539,141.0
扶余市,126.049534,44.989057,183.0
白城市,122.838102,45.620131,152.0
镇赉县,123.19967,45.848195,138.0
通榆县,123.088093,44.812912,146.0
洮南市,122.79845,45.356849,147.0
大安市,124.291032,45.507004,135.0
延边朝鲜族自治州,129.470605,42.909426,218.0
延吉市,129.507655,42.891034,181.0
图们市,129.843807,42.968039,99.0
敦化市,128.232235,43.372669,504.0
珲春市,130.365829,42.862551,40.0
龙井市,129.426529,42.767172,268.0
和龙市,129.010932,42.546434,466.0
汪清县,129.785137,43.317215,263.0
安图县,128.899744,43.111978,387.0
哈尔滨市,126.53505,45.802981,117.0
依兰县,129.567777,46.325536,98.0
方正县,128.829513,45.851673,113.0
宾县,127.466372,45.746313,177.0
巴彦县,127.403521,46.086182,134.0
木兰县,128.043194,45.950649,113.0
通河县,128.74629,45.990214,107.0
延寿县,128.311071,45.445956,156.0
尚志市,128.009218,45.209199,190.0
五常市,127.167501,44.932164,200.0
齐齐哈尔市,123.918193,47.354892,148.0
龙江县,123.204953,47.338512,193.0
依安县,125.306161,47.893442,205.0
泰来县,123.416631,46.393694,141.0
甘南县,123.507935,47.921698,186.0
富裕县,124.474411,47.774038,164.0
克山县,125.875103,48.037748,228.0
克东县,126.249124,48.041562,296.0
拜泉县,126.09905,47.59586,235.0
讷河市,124.88293,48.466829,195.0
鸡西市,130.969385,45.295087,200.0
鸡东县,131.124083,45.260413,197.0
虎林市,132.937002,45.763262,88.0
密山市,131.846824,45.529482,130.0
鹤岗市,130.297687,47.350659,174.0
萝北县,130.820566,47.578979,83.0
绥滨县,131.852863,47.289522,59.0
双鸭山市,131.141563,46.676157,126.0
集贤县,131.141452,46.728448,103.0
友谊县,131.807815,46.767299,65.0
宝清县,132.196907,46.327335,85.0
饶河县,134.014125,46.79726,51.0
大庆市,125.104078,46.589498,148.0
肇州县,125.268449,45.699543,149.0
肇源县,125.078311,45.518982,128.0
林甸县,124.863628,47.171677,153.0
杜尔伯特蒙古族自治县,124.442829,46.862348,144.0
伊春市,128.840863,47.728332,254.0
嘉荫县,130.402406,48.888613,85.0
汤旺县,129.570935,48.454639,349.0
丰林县,129.533661,48.290566,309.0
大箐山县,129.020519,47.028313,231.0
南岔县,129.283584,47.139009,190.0
铁力市,128.032554,46.986604,213.0
佳木斯市,130.318916,46.800002,81.0
桦南县,130.553472,46.239314,170.0
桦川县,130.71908,47.023001,76.0
汤原县,129.904747,46.730623,88.0
同江市,132.510113,47.642475,52.0
富锦市,132.037659,47.250144,61.0
抚远市,134.30786,48.365027,45.0
七台河市,131.003015,45.771178,211.0
勃利县,130.592009,45.755856,219.0
牡丹江市,129.632928,44.551486,236.0
林口县,130.282286,45.279754,293.0
绥芬河市,131.151805,44.412487,513.0
海林市,129.380756,44.594017,279.0
宁安市,129.482505,44.340617,249.0
穆棱市,130.52446,44.918842,262.0
东宁市,131.124839,44.090361,180.0
黑河市,127.528226,50.244887,124.0
逊克县,128.478698,49.56429,117.0
孙吴县,127.336163,49.425645,227.0
北安市,126.490989,48.241168,263.0
五大连池市,126.205446,48.517342,252.0
嫩江市,125.221192,49.185766,223.0
绥化市,126.968714,46.654147,175.0
望奎县,126.486333,46.832185,179.0
兰西县,126.287734,46.252966,155.0
青冈县,126.099314,46.70398,204.0
庆安县,127.507586,46.880628,186.0
明水县,125.90601,47.173649,237.0
绥棱县,127.114928,47.235814,198.0
安达市,125.307629,46.451882,144.0
肇东市,125.962419,46.050664,145.0
海伦市,126.930191,47.450661,226.0
漠河市,122.539313,52.972465,435.0
呼玛县,126.651856,51.725924,172.0
塔河县,124.709733,52.334512,357.0
南京市,118.796624,32.059344,12.0
无锡市,120.311889,31.491064,5.0
江阴市,120.284794,31.921642,10.0
宜兴市,119.821873,31.338429,22.0
徐州市,117.283752,34.204224,34.0
丰县,116.658111,34.697232,39.0
沛县,116.936353,34.760761,34.0
睢宁县,117.941364,33.913727,22.0
新沂市,118.354747,34.369585,29.0
邳州市,118.012511,34.339208,23.0
常州市,119.974092,31.811313,5.0
溧阳市,119.484164,31.416967,8.0
苏州市,120.585294,31.299758,7.0
常熟市,120.752512,31.656016,6.0
张家港市,120.555979,31.876739,7.0
昆山市,120.980795,31.385476,4.0
太仓市,121.130344,31.458043,4.0
南通市,120.894522,31.981269,3.0
如东县,121.18495,32.331584,3.0
启东市,121.65523,31.792831,3.0
如皋市,120.574028,32.371493,5.0
海安市,120.46779,32.532853,5.0
连云港市,119.221487,34.596639,17.0
东海县,118.752869,34.542194,20.0
灌云县,119.239426,34.284074,2.0
灌南县,119.315583,34.087251,1.0
淮安市,119.113166,33.551495,8.0
涟水县,119.260589,33.781648,10.0
盱眙县,118.544545,33.011905,33.0
金湖县,119.020432,33.024663,8.0
盐城市,120.16263,33.348176,2.0
响水县,119.578332,34.199172,3.0
滨海县,119.820713,33.990372,1.0
阜宁县,119.802271,33.758857,1.0
射阳县,120.326338,33.766277,-8.0
建湖县,119.788743,33.438931,1.0
东台市,120.320308,32.867845,3.0
扬州市,119.412834,32.394404,9.0
宝应县,119.358389,33.241125,1.0
仪征市,119.184468,32.272833,7.0
高邮市,119.45892,32.781606,3.0
镇江市,119.424441,32.188141,27.0
丹阳市,119.606071,32.010035,8.0
扬中市,119.796816,32.236476,5.0
句容市,119.168693,31.945732,22.0
泰州市,119.922883,32.456692,4.0
兴化市,119.85255,32.911952,0.0
靖江市,120.277124,31.98325,1.0
泰兴市,120.051475,32.173072,4.0
宿迁市,118.275228,33.963186,26.0
沭阳县,118.804321,34.110642,5.0
泗阳县,118.703636,33.723576,13.0
泗洪县,118.223941,33.476575,16.0
杭州市,120.210792,30.246026,8.0
桐庐县,119.691755,29.79418,27.0
淳安县,119.042015,29.609678,141.0
建德市,119.281195,29.474964,84.0
宁波市,121.62454,29.860258,4.0
象山县,121.869251,29.476826,32.0
宁海县,121.429729,29.287929,35.0
余姚市,121.154572,30.037967,7.0
慈溪市,121.266525,30.170695,8.0
温州市,120.699279,27.993849,7.0
永嘉县,120.69136,28.153914,42.0
平阳县,120.565161,27.662394,77.0
苍南县,120.425957,27.518636,6.0
文成县,120.090929,27.786856,129.0
泰顺县,119.717643,27.556578,537.0
瑞安市,120.655245,27.778967,17.0
乐清市,120.986297,28.112519,7.0
龙港市,120.552952,27.578379,6.0
嘉兴市,120.755623,30.746814,6.0
嘉善县,120.926031,30.83085,5.0
海盐县,120.94628,30.52664,6.0
海宁市,120.680224,30.511536,7.0
平湖市,121.015619,30.677804,6.0
桐乡市,120.565127,30.630375,6.0
湖州市,120.086881,30.894178,4.0
德清县,119.9774,30.54251,12.0
长兴县,119.911212,31.026962,6.0
安吉县,119.680261,30.638803,17.0
绍兴市,120.582886,30.051549,9.0
新昌县,120.903918,29.500525,73.0
诸暨市,120.246602,29.709398,16.0
嵊州市,120.830505,29.561519,28.0
金华市,119.647265,29.079195,45.0
武义县,119.816341,28.892562,86.0
浦江县,119.89259,29.453363,74.0
磐安县,120.449937,29.054491,342.0
兰溪市,119.460404,29.209059,35.0
义乌市,120.075679,29.306296,71.0
东阳市,120.24179,29.290158,79.0
永康市,120.047356,28.88899,92.0
衢州市,118.859307,28.970229,68.0
常山县,118.511224,28.902446,115.0
开化县,118.415756,29.136729,182.0
龙游县,119.1723,29.028214,55.0
江山市,118.627228,28.73796,116.0
舟山市,122.207395,29.985578,-5.0
岱山县,122.225718,30.264533,0.0
嵊泗县,122.45132,30.725677,46.0
台州市,121.42079,28.655716,12.0
三门县,121.39561,29.104888,50.0
天台县,121.006657,29.144594,58.0
仙居县,120.728733,28.846856,58.0
温岭市,121.385435,28.372805,16.0
临海市,121.144625,28.859042,44.0
玉环市,121.231915,28.136703,41.0
丽水市,119.923249,28.467694,79.0
青田县,120.289693,28.1396,93.0
缙云县,120.091685,28.659294,199.0
遂昌县,119.275865,28.592388,272.0
松阳县,119.481406,28.448883,130.0
云和县,119.573454,28.116024,151.0
庆元县,119.062572,27.619213,408.0
